Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Carbon Fiber,HongTex: TWILL-3K,1520,0.0226616,69.2661,69.3017,69.3017,1.57049,2.59965,0,0,-4.27013e-06,-4.27013e-06,{w:60; t:0.25}
Precure laminate,Hexcel: Polyspeed GC-EV 530B,1642.36,0.233663,60.7039,61.0643,6.60071,1.54234,2.08434,0,0,-3.2561e-07,2.99935e-06,{w:1270; t:0.38}
Precure laminate,Hexcel: Polyspeed GC-EV 750B,1790.19,0.240759,72.1505,72.5993,7.74245,1.86406,2.64825,0,0,-3.83349e-07,3.14158e-06,{w:150; t:0.14}
Precure laminate,Hexcel: Polyspeed GC-EV BB566,1750.1,0.601446,11.5511,17.2801,15.8376,9.52543,10.0086,0,0,3.77346e-06,2.95351e-06,{w:1270; t:0.22}
Precure laminate,Hexcel: Polyspeed HMGC-EV 606B,1740.29,0.244875,44.7716,45.1637,6.53847,1.60111,2.09259,0,0,2.88119e-06,4.34501e-06,{t:0.35}
Precure laminate,Hexcel: Polyspeed NR-C/Flax EV 405B,1438.13,0.230669,63.4894,63.8242,6.29195,1.45136,1.91548,0,0,-8.17811e-07,3.10296e-06,{t:0.55}
Precure laminate,Hexcel: G-EV 696R,1994,0.15,0.03159837079,0.0323257,0.0323257,0.00484885,0.0137384,0,0,2e-05,2e-05,{t:0.55}
Fleece,Nico Fiber,1980,0.33,3.44738,3.86868,3.86868,1.27666,1.29601,0,0,2.5e-05,2.5e-05,{t:0.42}
Binding Mat,Owens Corning: GLASS MAT M723 450gsm,1994,0.282,6.7488,7.33186,7.33186,2.06758,2.63214,0,0,5.41722e-06,5.41722e-06,{t:0.5}
Binding Mat,Owens Corning: GLASS MAT M723 600gsm,1994,0.282,6.7488,7.33186,7.33186,2.06758,2.63214,0,0,5.41722e-06,5.41722e-06,{t:0.5; w:1200.0}
Braid,Glass - Braid,1980,0.33,0.009652660206,0.0108323,0.0108323,0.00357466,0.00362882,0,0,2e-05,2e-05,{w:1270; t:0.2}
Braid,Glass - Rovings in braid,1980,0.33,0.04067906801,0.0456504,0.0456504,0.0150646,0.0152929,0,0,2e-05,2e-05,
Fleece,XuRui: G50 Fleece Veil,1577,0.33,3.44738,3.86868,3.86868,1.27666,1.29601,0,0,2.5e-05,2.5e-05,
Fleece,XuRui:G100 Fleece Veil,1577,0.33,3.44738,3.86868,3.86868,1.27666,1.29601,0,0,2.5e-05,2.5e-05,
Core - Wood,Ash,680,0.33,12.31,13.8144,13.8144,4.55875,4.62782,0,0,4e-06,3.5e-05,
Core - Wood,Aspen,450,0.33,9.75,10.9415,10.9415,3.61071,3.66541,0,0,4e-06,3.5e-05,{w:1000; t:0.15}
Core - Wood,Paulownia,280,0.33,5.6,6.28437,6.28437,2.07384,2.10526,0,0,4e-06,3.5e-05,{w:1270; t:0.3}
Core - Wood,Hard Maple,705,0.33,12.62,14.1623,14.1623,4.67355,4.74436,0,0,4e-06,3.5e-05,
