Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Q11 [Pa],Q22 [Pa],Q12 [Pa],Q66 [Pa],Q16 [Pa],Q26 [Pa],Available dimensions
Core - Wood,Soft Maple,550,0.33,11300000,12680956.12,12680956.12,4184715.52,4248120.301,0,0,{t:10.0; w:320.0; l:1600.0};{t:100.0; w:240.0; l:1700.0};{t:100.0; w:240.0; l:1900.0};{t:100.0; w:260.0; l:2100.0};{t:100.0; w:270.0; l:2300.0};{t:100.0; w:280.0; l:1250.0};{t:100.0; w:280.0; l:1350.0};{t:100.0; w:280.0; l:1400.0};{t:100.0; w:280.0; l:1450.0};{t:100.0; w:280.0; l:1500.0};{t:100.0; w:280.0; l:1550.0};{t:100.0; w:280.0; l:1600.0};{t:100.0; w:280.0; l:1650.0};{t:100.0; w:280.0; l:1700.0};{t:100.0; w:280.0; l:1750.0};{t:100.0; w:280.0; l:1800.0};{t:100.0; w:280.0; l:1850.0};{t:100.0; w:280.0; l:1900.0};{t:100.0; w:280.0; l:2100.0};{t:100.0; w:280.0; l:2300.0};{t:100.0; w:290.0; l:1250.0};{t:100.0; w:300.0; l:1350.0};{t:100.0; w:300.0; l:1400.0};{t:100.0; w:300.0; l:1450.0};{t:100.0; w:300.0; l:1500.0};{t:100.0; w:300.0; l:1550.0};{t:100.0; w:300.0; l:1600.0};{t:100.0; w:300.0; l:1650.0};{t:100.0; w:300.0; l:1700.0};{t:100.0; w:300.0; l:1750.0};{t:100.0; w:320.0; l:1350.0};{t:100.0; w:320.0; l:1450.0};{t:100.0; w:320.0; l:1500.0};{t:100.0; w:320.0; l:1550.0};{t:100.0; w:320.0; l:1600.0};{t:100.0; w:320.0; l:1650.0};{t:100.0; w:320.0; l:1700.0};{t:100.0; w:320.0; l:1750.0};{t:100.0; w:320.0; l:1800.0};{t:100.0; w:320.0; l:1850.0};{t:100.0; w:320.0; l:1900.0};{t:100.0; w:330.0; l:1550.0};{t:100.0; w:340.0; l:1500.0};{t:100.0; w:340.0; l:1600.0};{t:100.0; w:340.0; l:1650.0};{t:100.0; w:340.0; l:1700.0};{t:100.0; w:340.0; l:1750.0};{t:100.0; w:340.0; l:1800.0};{t:100.0; w:340.0; l:1850.0};{t:100.0; w:340.0; l:1900.0};{t:100.0; w:360.0; l:1900.0};{t:11.0; w:320.0; l:1600.0};{t:11.5; w:360.0; l:1700.0};{t:12.0; w:320.0; l:1750.0};{t:12.0; w:360.0; l:1750.0};{t:12.5; w:340.0; l:1800.0};{t:140.0; w:340.0; l:2000.0};{t:600.0; w:110.0; l:1050.0};{t:600.0; w:110.0; l:1150.0};{t:600.0; w:110.0; l:1250.0};{t:600.0; w:110.0; l:1350.0};{t:600.0; w:115.0; l:1100.0};{t:600.0; w:115.0; l:1200.0};{t:600.0; w:115.0; l:1300.0};{t:600.0; w:115.0; l:1400.0};{t:600.0; w:115.0; l:1500.0};{t:600.0; w:115.0; l:1600.0};{t:600.0; w:120.0; l:1250.0};{t:600.0; w:120.0; l:1350.0};{t:600.0; w:120.0; l:1450.0};{t:600.0; w:120.0; l:1550.0};{t:600.0; w:120.0; l:1650.0};{t:600.0; w:130.0; l:1460.0};{t:600.0; w:130.0; l:1500.0};{t:600.0; w:130.0; l:1560.0};{t:600.0; w:130.0; l:1600.0};{t:600.0; w:130.0; l:1660.0};{t:600.0; w:130.0; l:1700.0};{t:600.0; w:130.0; l:1760.0};{t:600.0; w:130.0; l:1800.0};{t:7.0; w:240.0; l:1650.0};{t:7.0; w:240.0; l:1900.0};{t:7.0; w:260.0; l:1050.0};{t:7.0; w:280.0; l:1150.0};{t:7.5; w:280.0; l:1100.0};{t:7.5; w:290.0; l:1250.0};{t:7.5; w:300.0; l:1350.0};{t:7.5; w:300.0; l:1400.0};{t:7.5; w:310.0; l:1450.0};{t:7.5; w:320.0; l:1500.0};{t:7.5; w:330.0; l:1550.0};{t:7.5; w:340.0; l:1600.0};{t:8.0; w:260.0; l:1150.0};{t:8.0; w:260.0; l:950.0};{t:8.0; w:280.0; l:1300.0};{t:8.0; w:320.0; l:1450.0};{t:8.0; w:320.0; l:1500.0};{t:8.0; w:330.0; l:1550.0};{t:8.0; w:340.0; l:1600.0};{t:8.0; w:340.0; l:1650.0};{t:8.5; w:280.0; l:1500.0};{t:8.5; w:340.0; l:1600.0};{t:8.5; w:340.0; l:1650.0};{t:9.0; w:340.0; l:1600.0};{t:9.0; w:340.0; l:1650.0};{t:9.0; w:340.0; l:1700.0};{t:9.5; w:260.0; l:1250.0};{t:9.5; w:280.0; l:1350.0};{t:9.5; w:340.0; l:1550.0}
Core - Wood,European Beech,710,0.33,14310000,16058803.73,16058803.73,5299405.229,5379699.248,0,0,
Core - Wood,Birch,740,0.33,13860000,15553809.9,15553809.9,5132757.266,5210526.316,0,0,
Core - Wood,Bamboo,1150,0.33,12600000,14139827.18,14139827.18,4666142.969,4736842.105,0,0,
Core - Wood,Fir,415,0.33,10240000,11491415.1,11491415.1,3792166.985,3849624.06,0,0,
Core - Wood,Poplar - Light,370,0.33,7590000,8517562.563,8517562.563,2810795.646,2853383.459,0,0,
Core - Wood,Poplar,412.5,0.33,9245000,10374817.64,10374817.64,3423689.822,3475563.91,0,0,
Core - Wood,Poplar - Dense,455,0.33,10900000,12232072.72,12232072.72,4036583.997,4097744.361,0,0,
Core - Composite,WBK # N21 - Offset Stringer (1x): Pal/Map,421.88,0.33,6894760000,7737360000,7737360000,2553330000,2592010000,0,0,
Core - Composite,WBK # N12 - Offset Stringer (2x): Asp/Map,604.4,0.33,13444780000,15087840000,15087840000,4978990000,5054430000,0,0,
Core - Composite,WBK # N3 - Solid: Asp Veneer,570.3,0.33,9307920000,10445430000,10445430000,3446990000,3499220000,0,0,
Core - Composite,WBK # N5 - Alternating: Fir/Asp,531.63,0.33,11548720000,12960070000,12960070000,4276820000,4341620000,0,0,
Core - Composite,WBK # N8 - Double Barrel: Fir/Asp,532.78,0.33,11548720000,12960070000,12960070000,4276820000,4341620000,0,0,
Core - Composite,WBK # N2 - Solid: Asp,498.79,0.33,9307920000,10445430000,10445430000,3446990000,3499220000,0,0,
Core - Composite,WBK # N4 - Solid: Pal,321,0.33,5033170000,5648270000,5648270000,1863930000,1892170000,0,0,
Core - Composite,WBK # N13 - Offset Stringers (1x): Asp/Map,546.51,0.33,10859240000,12186330000,12186330000,4021490000,4082420000,0,0,
